     0.02500     62.13017
     0.07500     46.85863
     0.12500     34.29548
     0.17500     38.48746
     0.22500     13.79619
     0.27500     12.17147
     0.32500     17.09167
     0.37500     15.68942
     0.42500      5.33577
     0.47500      3.27429
     0.52500      4.52662
     0.57500      4.19921
     0.62500      1.29294
     0.67500      1.26265
     0.72500      1.17681
     0.77500      1.10218
     0.82500      2.08061
     0.92500      0.92139
     1.17500      0.74843
 after hadron evolution
     0.02500    383.71082
     0.07500    240.39738
     0.12500    177.36377
     0.17500    113.20358
     0.22500     42.44907
     0.27500     48.78902
     0.32500     29.99495
     0.37500     25.07017
     0.42500     24.81717
     0.47500      8.27978
     0.52500      5.96452
     0.57500      7.00761
     0.62500      2.57373
     0.67500      4.95914
     0.72500      4.59076
     0.82500      2.08061
     0.87500      0.97582
     0.92500      0.92139
     1.17500      0.74843
