       1       0    3957    3.8609   12  157    4  152
     3    0.337    0.078     -0.546  0.199     0.11     1.22    -2.24     4.53
    -2   -0.239    0.310     -0.090  0.006    -1.82     1.26    -0.41     2.00
    -2    0.039    0.640      0.416  0.006     2.29     2.51     0.67     2.96
     2    0.135    0.117     -0.251  0.006     3.25     3.22     0.07     2.21
     2    0.255    0.296     -0.073  0.006    -1.01    -0.15    -1.37     2.72
     1   -0.559    0.038      0.644  0.010    -1.70    -0.48     1.64     3.36
     2   -0.155    0.192     -0.128  0.006    -0.80     0.49    -1.28     2.26
     1   -0.014    0.197     -0.008  0.010     0.43     5.24     2.01     3.38
    -2    0.183    0.090      0.224  0.006     0.68     2.79     1.82     3.49
     1    0.007    0.142     -0.071  0.010     3.03     1.79    -7.96    10.87
     1   -0.180   -0.133     -0.061  0.010    -3.94    -4.49    -5.23    11.97
     1   -0.060   -0.183     -0.121  0.010     3.49    -1.24    -0.16     3.44
    -1   -0.237   -0.029      0.863  0.010    -6.04    -0.90     2.63     4.26
     1   -0.658    0.239     -0.121  0.010    -3.76    -0.05    -0.07     0.49
    -1    0.061    0.081      0.124  0.010    -0.68    -2.15     2.73     6.00
    -2   -0.030    0.120     -0.091  0.006    -0.99     0.49     0.27     2.01
    -3   -0.205    0.164      0.409  0.199    -0.78     0.61     0.70     1.10
    -2   -0.141   -0.095     -0.131  0.006    -3.06    -1.15    -5.84     7.12
     3   -0.363   -0.246      0.412  0.199    -3.69    -1.67     4.55     6.93
     3   -0.497   -0.168      0.286  0.199    -0.14    -0.04     3.61     5.59
    -1    0.122    0.071      1.811  0.010     0.64     0.26     1.05     1.26
    -3    1.065    0.764     -0.456  0.199     5.12    -1.00    -0.03     0.13
     1    0.036   -0.038      0.146  0.010     5.12    -1.08     0.04     0.24
    -2    0.022    0.170     -0.218  0.006    -4.79     2.28    -1.11     3.19
     2   -0.340    0.192     -0.171  0.006    -5.45     1.11    -1.04     2.82
     2    0.162    0.063     -0.223  0.006     1.14     1.57    -6.28     8.37
     2    0.004    0.068      0.406  0.006    -1.58     2.54     2.05     3.69
     1   -0.080    0.081      0.078  0.010     1.15     2.61    -0.51     3.11
     1    0.149   -0.084      0.180  0.010    -0.75     0.05     0.77     1.45
     3    0.117    0.796      0.892  0.199    -0.92     1.96     1.05     1.62
     1   -0.016    0.067      0.218  0.010     1.51     0.47     0.54     5.45
     2   -0.296    0.116     -0.066  0.006    -4.75     1.20     0.05     0.82
     2   -0.226    0.116      0.557  0.006    -4.24     1.12     0.05     0.13
     3   -0.305   -0.459      0.233  0.199    -4.39     0.89     0.12     0.42
     2    0.426   -0.560      0.210  0.006     7.49     1.03     0.19     0.93
     1   -0.042    0.241     -0.249  0.010     2.48     1.37    -4.02     7.37
     1    0.033   -0.684     -0.064  0.010     4.76    -1.54     1.29     4.65
    -1   -0.396   -0.056     -0.251  0.010    -3.37    -2.22    -0.31     1.25
     1    0.290   -0.440     -0.607  0.010    -3.06    -4.37    -0.35     2.21
     1    0.161    0.012     -0.108  0.010     6.77     2.08    -8.05    12.13
     1    0.104   -0.176     -0.615  0.010    -0.14    -4.33    -0.81     2.31
     1   -0.219    0.101     -0.233  0.010    -1.10    -2.08    -1.18     3.62
     2   -0.166    0.110     -0.037  0.006    -5.08    -2.32    -0.48     2.31
     1    0.013   -0.068     -0.001  0.010    -4.22    -1.23     1.33     3.91
     2    0.261   -0.029      0.395  0.006    -2.77    -4.26     0.98     1.79
     1    0.143    0.024      0.212  0.010     1.96    -0.43     6.21     9.02
     1    0.183    0.133      0.310  0.010     0.73     1.07     2.52     3.10
     2    0.158    0.086      0.226  0.006     3.06     0.68     4.45     5.06
     1    0.012    0.280      0.233  0.010    -3.52     0.04     0.20     1.84
     1   -0.072    0.084     -0.158  0.010    -5.22     2.41    -2.59     6.16
     1   -0.129    0.079      0.244  0.010    -3.66     0.91     3.29     4.86
     1   -0.377    0.278     -0.252  0.010    -4.40    -0.37    -0.02     0.14
     1    0.031    0.001      0.085  0.010    -5.06     1.47     1.85     2.85
     1    0.009    0.080     -0.125  0.010    -5.31    -2.54    -0.60     2.68
     2    0.119    0.161      0.207  0.006     2.80     1.13     4.14     7.36
     1   -0.185    0.299      0.422  0.010    -1.20     1.57     0.62     2.78
     1    0.046   -0.151     -0.578  0.010    -1.50    -1.50    -4.15     5.53
     2    0.226    0.217      0.225  0.006     1.47     5.91     0.62     1.51
     2   -0.110    0.107      0.212  0.006    -0.59     6.60     1.65     3.67
     3    0.069    0.068     -0.179  0.199     3.92     2.07    -7.29    13.05
     1   -0.003   -0.243      0.530  0.010    -1.91    -5.35     3.28     3.90
     2   -0.222   -0.538     -0.310  0.006    -2.65    -4.08    -0.19     1.01
     1   -0.153    0.099      0.075  0.010    -0.70    -4.38     1.03     2.87
    -2   -0.152   -0.177     -0.559  0.006     0.76    -3.69    -1.46     2.05
    -1   -0.029   -0.119     -0.035  0.010     1.86    -3.37    -2.05     3.16
    -1   -0.169   -0.026      0.132  0.010    -2.87    -1.79     3.48     6.48
     3   -0.625    0.117     -0.594  0.199    -0.41     3.32    -1.15     4.89
    -2   -0.104    0.322     -0.006  0.006     3.80     4.21    -0.02     0.15
    -2   -0.124   -0.113     -0.147  0.006    -2.81    -2.09     0.96     1.48
    -1   -0.191   -0.307     -0.171  0.010    -3.34    -3.52    -0.20     0.91
    -1    0.086    0.230     -0.182  0.010    -1.43    -2.53    -0.09     3.24
     1   -0.137   -0.076      0.116  0.010     1.95     2.60     2.83     4.71
     1    0.202    0.598     -1.330  0.010     0.81     4.97    -3.15     4.52
     1   -0.098    0.402      0.115  0.010     1.47     3.90     1.31     2.62
    -1   -0.153   -0.284     -0.934  0.010     1.48    -3.98    -5.81     6.49
    -1    0.359   -0.288      0.054  0.010     1.53    -0.96     1.13     3.75
    -1   -0.165   -0.304     -0.601  0.010    -0.17    -3.09    -1.65     2.69
    -1    0.954   -0.198     -0.814  0.010    -3.29    -5.52    -0.08     0.15
     2    0.162   -0.502     -0.120  0.006    -3.29    -5.52    -0.08     0.15
     1   -0.406    0.088      0.134  0.010    -5.33     0.88    -0.71     2.52
     1   -0.191    0.017      0.418  0.010    -5.87    -0.79     0.04     0.15
     1   -0.110   -0.529      0.212  0.010    -5.87    -0.79     0.04     0.15
     1   -0.052    0.232     -0.040  0.010     6.00     2.60     0.08     2.35
     1    0.216    0.330      0.428  0.010     2.40     1.74     1.28     2.09
     1   -0.068   -0.187      1.031  0.010     2.02    -0.44     5.88     7.26
     2    0.076   -0.453     -0.413  0.006     2.89     0.50    -1.27     2.59
     2    0.202   -0.131      0.345  0.006     4.02    -2.46     0.31     5.81
     2    0.380    0.144     -0.567  0.006     2.22     1.12    -2.55     4.10
    -2    0.401   -0.254      0.069  0.006    -0.20     3.04     1.95     5.52
     2   -0.197   -0.743      0.649  0.006    -1.13     3.62     2.02     3.83
    -1   -0.145   -0.155     -0.098  0.010    -2.85    -0.19    -2.07     3.04
     1   -0.562   -0.244      0.198  0.010    -3.79    -2.17     1.55     4.06
    -2    0.449    0.132      0.568  0.006     3.88    -0.49     5.25     7.31
    -2    0.408   -0.270      0.039  0.006     3.02     1.44    -0.30     1.74
    -1    0.043   -0.220      0.055  0.010     4.90     2.43     0.98     1.97
    -2   -0.032   -0.024      0.165  0.006     1.26     3.47     1.11     4.38
     2    0.053    0.742     -0.441  0.006     1.21     6.24    -3.73     5.15
     2   -0.637   -0.126     -0.287  0.006     0.08    -5.07    -0.25     1.02
    -3   -0.218   -0.045      0.126  0.199    -0.75    -3.64     2.13     5.56
    -1    0.010   -0.126      0.002  0.010     1.56    -3.71     4.39     7.41
    -1    0.066    0.006      0.034  0.010     1.35     0.41     6.31     7.21
    -2    0.029   -0.007     -0.012  0.006     6.05     1.74     5.14     8.03
    -2   -0.181    0.061     -0.123  0.006     0.91    -2.85    -0.62     2.23
     2    0.307   -0.109     -0.178  0.006     2.11     0.40    -2.51     6.15
    -3   -0.448    0.184      0.055  0.199    -0.88     6.66     0.02     2.26
    -1   -0.039    0.047      0.223  0.010     1.61     3.60     7.63     8.71
    -2    0.018   -0.054     -0.672  0.006    -0.51     5.02    -7.87     8.31
     1   -0.257   -0.074      0.429  0.010    -4.10    -5.30    13.17    14.95
    -3   -0.331   -0.163     -0.166  0.199    -5.01    -0.87    -2.73     5.47
     3    0.287    0.303     -0.527  0.199     2.64     0.21    -3.28     4.55
    -2   -0.200    0.014     -0.130  0.006    -0.12     0.64    -4.43     5.72
     1    0.195   -0.258     -0.181  0.010    -0.29    -5.55     0.03     0.16
    -1    0.175   -0.388      0.709  0.010     0.42    -5.88     1.17     1.75
     1   -0.218   -0.008     -0.105  0.010    -0.86     1.44    -0.53     2.46
     2    0.028   -0.097      0.231  0.006     1.10    -2.43     3.64     5.68
     3   -0.097   -0.256     -0.279  0.199    -2.34     0.43    -1.90     5.06
     2    0.100   -0.300     -0.165  0.006     4.24     0.72     0.07     0.32
     2    0.031    0.010     -0.071  0.006     4.28     1.12     0.26     0.60
     2    0.083   -0.309      1.946  0.006     3.46    -1.91    13.39    13.82
     2   -0.001   -0.304     -0.002  0.006     1.59    -5.38    -0.01     0.16
     1   -0.136    0.105      0.142  0.010     1.02    -2.44     3.58     5.68
     3   -0.114   -0.385     -0.219  0.199    -1.58   -14.31    -6.30    12.98
     2   -0.201   -0.318     -0.257  0.006     4.02    -3.41    -0.06     0.16
