           1           0        3957         397        1383        1876          96
  3    0.97    0.77    -0.44  0.199    -3.05     0.48    -0.03     0.10     3   -3.13    0.43
 -2    0.72    0.21    -0.10  0.006    -3.05     0.48    -0.03     0.10     3   -3.13    0.43
 -2   -1.34   -0.63     0.47  0.006     4.76     3.61     0.02     0.11 10036    4.85    3.64
  2   -0.25    0.18    -0.07  0.006     4.76     3.61     0.02     0.11 10036    4.85    3.64
  2   -0.02   -0.31    -0.27  0.006    -0.06     1.42    -0.03     0.11 20011   -0.02    1.48
  1   -0.60    0.01     0.18  0.010    -0.06     1.42    -0.03     0.11 20011   -0.02    1.48
  2   -0.12   -0.71    -0.34  0.006    -0.06     1.42    -0.03     0.11 20011   -0.02    1.48
  1    0.47    0.99     0.05  0.010    -0.10     3.03    -0.02     0.12 10176   -0.10    2.94
 -2   -0.45    0.32    -0.30  0.006    -0.10     3.03    -0.02     0.12 10176   -0.10    2.94
  1   -0.12    0.12     0.07  0.010     1.50     0.12    -0.01     0.12 10028    1.48    0.20
  1    0.61   -1.04    -0.24  0.010     1.50     0.12    -0.01     0.12 10028    1.48    0.20
  1   -0.22   -0.16    -0.03  0.010     1.50     0.12    -0.01     0.12 10028    1.48    0.20
 -1   -0.21    0.99     0.03  0.010    -3.47    -0.28    -0.01     0.12 20008   -3.42   -0.39
  1   -0.47    0.38    -0.11  0.010    -3.47    -0.28    -0.01     0.12 20008   -3.42   -0.39
 -1    0.27   -0.25     0.20  0.010    -0.80     0.80     0.00     0.12 20032   -0.81    0.88
 -2   -0.13   -0.76    -0.41  0.006    -0.80     0.80     0.00     0.12 20032   -0.81    0.88
 -3    0.02   -0.08     0.25  0.199    -0.80     0.80     0.00     0.12 20032   -0.81    0.88
 -2    0.22   -0.04    -0.22  0.006    -4.21     1.97     0.00     0.12 10159   -4.22    2.07
  3   -0.08   -1.23     0.23  0.199    -4.21     1.97     0.00     0.12 10159   -4.22    2.07
  3    0.14   -0.76    -0.01  0.199     0.71     0.71     0.06     0.13 10151    0.71    0.80
 -1   -0.01   -0.72     0.90  0.010     0.71     0.71     0.06     0.13 10151    0.71    0.80
 -3    1.07    0.76    -0.46  0.199     5.12    -1.00    -0.03     0.13 10015    5.03   -1.04
  1    0.08   -0.18     0.09  0.010     5.12    -1.00    -0.03     0.13 10015    5.03   -1.04
 -2   -0.40   -0.14    -0.03  0.006    -3.26     0.41    -0.02     0.13     3   -3.13    0.43
  2   -1.12   -0.18    -0.18  0.006    -3.26     0.41    -0.02     0.13     3   -3.13    0.43
  2   -0.32    0.02    -0.44  0.006     0.35     2.26    -0.01     0.13 20159    0.39    2.33
  2   -0.07   -0.63     0.04  0.006     0.35     2.26    -0.01     0.13 20159    0.39    2.33
  1   -0.06   -0.22     0.27  0.010     0.35     2.26    -0.01     0.13 20159    0.39    2.33
  1   -0.02   -0.20     0.06  0.010    -0.81     0.96     0.04     0.13 20032   -0.81    0.88
  3   -0.12    0.45     0.45  0.199    -0.81     0.96     0.04     0.13 20032   -0.81    0.88
  1    0.10    0.71    -0.05  0.010    -0.81     0.96     0.04     0.13 20032   -0.81    0.88
  2   -0.07   -0.40    -0.04  0.006    -4.24     1.12     0.05     0.13 20161   -4.20    1.18
  2   -0.23    0.12     0.56  0.006    -4.24     1.12     0.05     0.13 20161   -4.20    1.18
  3   -0.32   -0.59     0.15  0.199    -4.24     1.12     0.05     0.13 20161   -4.20    1.18
  2    0.22    0.04     0.04  0.006     6.73     0.83     0.03     0.13 10064    6.80    0.82
  1   -0.63    0.19    -0.16  0.010     6.73     0.83     0.03     0.13 10064    6.80    0.82
  1   -0.39   -0.11     0.51  0.010     6.73     0.83     0.03     0.13 10064    6.80    0.82
 -1    0.26    0.04    -0.06  0.010    -3.47    -2.37    -0.02     0.14 20103   -3.52   -2.26
  1    0.23   -1.14    -0.18  0.010    -3.47    -2.37    -0.02     0.14 20103   -3.52   -2.26
  1    0.29    0.18     0.05  0.010     0.84    -3.06    -0.01     0.14 20025    0.88   -3.07
  1   -0.26   -0.36    -0.17  0.010     0.84    -3.06    -0.01     0.14 20025    0.88   -3.07
  1   -0.50    0.29    -0.03  0.010     0.84    -3.06    -0.01     0.14 20025    0.88   -3.07
  2   -0.27    0.32    -0.21  0.006    -4.01    -3.80     0.00     0.14 10106   -4.01   -3.87
  1   -0.06    0.48    -0.05  0.010    -4.01    -3.80     0.00     0.14 10106   -4.01   -3.87
  2    0.33   -0.12     0.26  0.006    -4.01    -3.80     0.00     0.14 10106   -4.01   -3.87
  1    0.11   -0.70     0.26  0.010     1.26     1.11     0.08     0.14 20169    1.23    1.18
  1    0.21   -0.47     1.05  0.010     1.26     1.11     0.08     0.14 20169    1.23    1.18
  2    0.18    0.09    -0.05  0.006     1.26     1.11     0.08     0.14 20169    1.23    1.18
  1   -0.22    0.40     0.22  0.010    -3.25    -0.04     0.01     0.14 10095   -3.20   -0.05
  1    0.14    0.12    -0.25  0.010    -3.25    -0.04     0.01     0.14 10095   -3.20   -0.05
  1   -0.36   -0.40     0.11  0.010    -3.25    -0.04     0.01     0.14 10095   -3.20   -0.05
  1   -0.38    0.28    -0.25  0.010    -4.40    -0.37    -0.02     0.14 20186   -4.34   -0.38
  1   -0.09    0.25     0.25  0.010    -4.40    -0.37    -0.02     0.14 20186   -4.34   -0.38
  1   -0.10   -0.44    -0.22  0.010    -4.40    -0.37    -0.02     0.14 20186   -4.34   -0.38
  2    0.01   -0.11     0.25  0.006    -2.13     1.51    -0.02     0.14 20176   -2.15    1.62
  1   -0.08   -0.22     0.05  0.010    -2.13     1.51    -0.02     0.14 20176   -2.15    1.62
  1    0.25   -0.66    -0.53  0.010    -2.13     1.51    -0.02     0.14 20176   -2.15    1.62
  2    0.08    0.30     0.04  0.006     0.80     5.04     0.08     0.15 10017    0.72    5.06
  2    0.22   -0.43     0.42  0.006     0.80     5.04     0.08     0.15 10017    0.72    5.06
  3    0.68   -0.20     0.49  0.199     0.80     5.04     0.08     0.15 10017    0.72    5.06
  1    0.04   -0.22     0.32  0.010    -2.10    -3.47     0.06     0.15 10078   -2.09   -3.36
  2   -0.31   -0.35    -0.14  0.006    -2.10    -3.47     0.06     0.15 10078   -2.09   -3.36
  1    0.16   -0.54     0.42  0.010    -2.10    -3.47     0.06     0.15 10078   -2.09   -3.36
 -2   -0.07    0.10    -0.18  0.006     0.89    -3.14    -0.04     0.15 20025    0.88   -3.07
 -1    0.31   -0.95    -0.22  0.010     0.89    -3.14    -0.04     0.15 20025    0.88   -3.07
 -1   -0.16    0.15    -0.00  0.010     0.89    -3.14    -0.04     0.15 20025    0.88   -3.07
  3   -0.97   -0.22    -0.16  0.199     3.80     4.21    -0.02     0.15 20027    3.91    4.20
 -2   -0.10    0.32    -0.01  0.006     3.80     4.21    -0.02     0.15 20027    3.91    4.20
 -2    0.09    0.20     0.53  0.006    -2.83    -3.00     0.03     0.15 20192   -2.79   -3.04
 -1   -0.24   -0.24    -0.11  0.010    -2.83    -3.00     0.03     0.15 20192   -2.79   -3.04
 -1   -0.24    0.37    -0.15  0.010    -2.83    -3.00     0.03     0.15 20192   -2.79   -3.04
  1   -0.36   -0.19     0.20  0.010     1.20     2.99     0.03     0.15 10156    1.21    2.92
  1    0.12    0.52     0.05  0.010     1.20     2.99     0.03     0.15 10156    1.21    2.92
  1    0.13    0.39     0.07  0.010     1.20     2.99     0.03     0.15 10156    1.21    2.92
 -1    0.38   -0.34    -0.39  0.010     1.14    -1.69    -0.07     0.15 10016    1.15   -1.63
 -1    0.15   -0.09     0.09  0.010     1.14    -1.69    -0.07     0.15 10016    1.15   -1.63
 -1   -0.63   -0.36    -0.57  0.010     1.14    -1.69    -0.07     0.15 10016    1.15   -1.63
 -1    0.95   -0.20    -0.81  0.010    -3.29    -5.52    -0.08     0.15 20066   -3.38   -5.47
  2    0.16   -0.50    -0.12  0.006    -3.29    -5.52    -0.08     0.15 20066   -3.38   -5.47
  1    0.31   -0.02    -0.24  0.010    -5.87    -0.79     0.04     0.15 10090   -5.87   -0.74
  1   -0.19    0.02     0.42  0.010    -5.87    -0.79     0.04     0.15 10090   -5.87   -0.74
