           1        3957
 event,miss,iscat,jscat=           1           0          97          67
     2    0.071    0.003     -0.149  0.006     3.79     4.17     0.01     0.15
     3   -0.970   -0.224     -0.161  0.199     3.80     4.21    -0.02     0.15
     2   -0.190    0.152     -0.274  0.006     3.80     4.17    -0.00     0.16
     3   -0.709   -0.373     -0.036  0.199     3.78     4.20    -0.02     0.16
 event,miss,iscat,jscat=           1           0         211          49
     2   -0.206   -0.126     -0.121  0.006    -3.30     0.01    -0.00     0.17
     1   -0.224    0.401      0.225  0.010    -3.25    -0.04     0.01     0.14
     2   -0.479    0.408      0.059  0.006    -3.30     0.01    -0.00     0.17
     1    0.049   -0.134      0.044  0.010    -3.26    -0.02     0.02     0.17
 event,miss,iscat,jscat=           1           0          95          85
    -1    0.237   -0.052      0.097  0.010     3.80     1.99    -0.01     0.15
     1   -0.466    0.085      0.205  0.010     3.87     2.07     0.06     0.15
    -1    0.241    0.006      0.148  0.010     3.82     1.98    -0.00     0.18
     1   -0.470    0.027      0.154  0.010     3.84     2.08     0.07     0.18
 event,miss,iscat,jscat=           1           0          93          84
    -2   -0.356    0.514     -0.170  0.006     3.80     1.99    -0.01     0.15
     1   -0.573   -0.159      0.359  0.010     3.87     2.07     0.06     0.15
    -2   -0.423    0.470     -0.233  0.006     3.79     2.01    -0.02     0.18
     1   -0.507   -0.115      0.422  0.010     3.84     2.07     0.07     0.18
 event,miss,iscat,jscat=           1           0         322         215
    -1    0.202    0.224     -0.275  0.010     2.12    -4.28    -0.09     0.19
     2   -0.147   -0.260     -0.168  0.006     2.12    -4.26    -0.06     0.17
    -1    0.079    0.222      0.001  0.010     2.12    -4.28    -0.09     0.19
     2   -0.024   -0.259     -0.444  0.006     2.11    -4.27    -0.07     0.19
 event,miss,iscat,jscat=           1           0          64          41
    -2   -0.069    0.101     -0.175  0.006     0.89    -3.14    -0.04     0.15
     1   -0.262   -0.359     -0.168  0.010     0.84    -3.06    -0.01     0.14
    -2    0.024   -0.127     -0.275  0.006     0.88    -3.12    -0.07     0.19
     1   -0.355   -0.131     -0.068  0.010     0.81    -3.10    -0.03     0.19
 event,miss,iscat,jscat=           1           0         292          23
     3    0.051    0.339     -0.006  0.199     5.06    -1.05     0.05     0.18
     1    0.078   -0.184      0.093  0.010     5.12    -1.00    -0.03     0.13
     3    0.206    0.266     -0.083  0.199     5.06    -1.04     0.05     0.19
     1   -0.077   -0.111      0.170  0.010     5.14    -1.05    -0.00     0.19
 event,miss,iscat,jscat=           1           0         115          48
     2   -0.135   -0.158      0.267  0.006     1.27     1.11    -0.04     0.16
     2    0.181    0.091     -0.048  0.006     1.26     1.11     0.08     0.14
     2    0.064    0.021     -0.151  0.006     1.25     1.10    -0.02     0.19
     2   -0.018   -0.089      0.371  0.006     1.30     1.13     0.07     0.19
 event,miss,iscat,jscat=           1           0         319         188
    -1    0.256    0.751      0.363  0.010    -2.94     1.32     0.04     0.19
     1   -0.137   -0.238      0.231  0.010    -3.11     1.43    -0.01     0.17
    -1   -0.409    0.239      0.180  0.010    -2.94     1.33     0.05     0.19
     1    0.527    0.274      0.414  0.010    -3.12     1.41     0.01     0.19
 event,miss,iscat,jscat=           1           0         218         129
     1   -0.244   -0.346     -0.100  0.010    -0.38     2.17    -0.04     0.17
