           1           0         197         197
    21    0.446   -1.776     -0.486  0.000     2.09    -4.25  0.  0.   1
    21   -0.110    0.249     -0.433  0.000     2.09    -4.25  0.  0.   1
    21    0.382   -0.062      0.230  0.000     2.43    -3.68  0.  0.   2
    21   -0.961    1.314     -0.287  0.000    -2.97    -1.32  0.  0.   3
    21    1.289   -2.291     -1.530  0.000    -2.97    -1.32  0.  0.   3
    21   -1.249    0.082     -1.903  0.000    -1.72    -1.26  0.  0.   3
    21    0.456    1.695     -0.609  0.000    -1.72    -1.26  0.  0.   3
    21   -0.310   -1.254     -0.952  0.000    -1.72    -1.26  0.  0.   3
    21    2.080    0.608     -0.794  0.000    -3.13     0.43  0.  0.   3
    21   -1.882   -0.155      0.031  0.000    -3.13     0.43  0.  0.   3
