           1         262
     2     5     1.9389     0.5505     6.3910    -5.9372
     2   105     2.5045     1.4279     6.3910     0.5387
     3     5     2.5447     0.2789     6.3075    -5.9372
     4    43     2.1149    -2.7560     6.1896    -2.9033
     4    86     2.2618    -2.3254     6.1896    -0.4445
     4    92     1.6270    -2.3630     6.1896    -0.2552
     4   157     1.6578    -2.4410     6.1896     2.8189
     5    46     3.3651     0.2109     5.9544    -2.7135
     5    54     2.1478     0.6394     5.9544    -1.9768
     5   140     2.8183     0.0146     5.9544     1.9592
     7    54     1.3017     1.5393     5.3151    -1.9768
     7    94     0.9277     2.5125     5.3151    -0.0681
     7   105     1.8989     1.7351     5.3151     0.5387
     7   115     0.9686     2.5049     5.3151     0.8594
     9   140     3.1596    -0.4965     5.2164     1.9592
    13   118     1.5623     3.2081     4.9644     1.0006
    13   134     2.2152     4.7122     4.9644     1.6387
    16   157     1.7945    -2.7725     4.4001     2.8189
    22   113     2.5421    -0.5285     3.9246     0.8448
    23    43     2.1048    -2.9874     3.8060    -2.9033
    23    87     1.8096    -2.9703     3.8060    -0.4160
    26    22    -1.1890    -2.8134     3.7458    -3.7845
    26   196     0.4192    -2.1294     3.7458     7.5634
    29    17     0.6351     2.2459     3.6502    -3.9634
    29    72     1.4483     1.5550     3.6502    -1.0571
    29   105     1.9406     1.7433     3.6502     0.5387
    29   158     0.9000     1.8562     3.6502     2.8309
    30    96     1.5356     6.1285     3.4647     0.0098
    35     5     1.4234    -1.0079     3.2186    -5.9372
    35    36     1.0799    -1.0979     3.2186    -3.2359
    35   140     2.0624    -0.9511     3.2186     1.9592
    35   155     1.4800    -1.3411     3.2186     2.7118
    35   157     1.2883    -2.0356     3.2186     2.8189
    42     6    -1.2474    -0.5969     2.9274    -5.9078
    42    15    -0.8251     0.2869     2.9274    -4.1285
    42   114    -0.8174    -1.2513     2.9274     0.8470
    42   174    -0.8143     0.4251     2.9274     3.8098
    43    86     2.9399    -2.0955     2.8093    -0.4445
    45   110    -1.3967     4.5419     2.7677     0.6589
    45   112    -1.6303     3.5345     2.7677     0.7829
    45   147    -1.7669     4.2172     2.7677     2.3826
    45   179    -1.3196     4.7377     2.7677     4.2754
    45   193    -1.9732     3.0743     2.7677     5.5412
    46    10     1.0036    -1.9768     2.7446    -4.4614
    46    86     1.6961    -1.8403     2.7446    -0.4445
    46    92     1.0614    -1.8779     2.7446    -0.2552
    46   157     1.0922    -1.9559     2.7446     2.8189
    46   196     0.9786    -1.9306     2.7446     7.5634
    48    30    -0.7415    -1.6054     2.6436    -3.3461
    48    31    -1.7827    -1.9193     2.6436    -3.3240
    48    62    -0.9231    -1.6820     2.6436    -1.5609
    52     7    -2.6911     2.4104     2.4342    -5.5296
    52    32    -2.6516     3.7818     2.4342    -3.3221
    52   136    -2.8790     2.7987     2.4342     1.7076
    52   152    -2.3640     3.0814     2.4342     2.6220
    52   193    -2.2271     2.4421     2.4342     5.5412
    58     5     1.1427    -0.8425     2.1725    -5.9372
    58    62     0.1512    -1.7500     2.1725    -1.5609
    58    92     0.9769    -1.7922     2.1725    -0.2552
    58   114     0.2556    -1.9120     2.1725     0.8470
    58   196     0.8940    -1.8448     2.1725     7.5634
    59    17    -0.4391     3.0289     2.0692    -3.9634
    59    20    -0.3120     3.2495     2.0692    -3.8161
    59    47    -1.2369     4.2415     2.0692    -2.6545
    59    48    -0.5046     3.7167     2.0692    -2.5419
    59    65    -0.2847     2.8387     2.0692    -1.4252
    59   112    -1.0636     3.3085     2.0692     0.7829
    59   150    -0.4554     3.5739     2.0692     2.5453
    63    22    -1.9032    -3.5716     1.6242    -3.7845
    63    79    -0.7327    -4.0767     1.6242    -0.7662
    63    82    -1.3934    -3.8962     1.6242    -0.6098
    63   114    -0.9334    -2.9548     1.6242     0.8470
    63   145    -1.2615    -3.1332     1.6242     2.2894
    63   178    -1.5504    -3.6963     1.6242     4.1918
    63   183    -1.6620    -4.4432     1.6242     4.4367
    66    60     2.7625     0.0641     1.3551    -1.6089
    67    46     4.7920     0.1034     1.3286    -2.7135
    76     1    -3.1910    -2.3094     0.9555    -7.2774
    76     2    -3.1910    -2.3560     0.9555    -6.5093
    76    31    -2.5667    -2.5369     0.9555    -3.3240
    76    57    -2.8006    -2.8371     0.9555    -1.8141
    76    83    -2.5654    -3.3617     0.9555    -0.5863
    76   182    -2.4878    -2.5928     0.9555     4.3255
    76   185    -3.7164    -2.3845     0.9555     4.5610
    76   189    -2.8832    -2.2733     0.9555     5.1050
    82    94     0.3583     2.8431     0.7731    -0.0681
    82   115     0.3991     2.8355     0.7731     0.8594
    82   118     0.3982     2.3687     0.7731     1.0006
    82   174    -0.1201     1.7953     0.7731     3.8098
    84    54     1.7703     0.9236     0.5795    -1.9768
    84    60     2.1703     0.9620     0.5795    -1.6089
    84    72     1.8752     0.9312     0.5795    -1.0571
    90    40    -1.4976    -2.5887     0.2881    -3.0102
    90    62    -0.9864    -2.1108     0.2881    -1.5609
    90   114    -0.8820    -2.2728     0.2881     0.8470
    90   145    -1.2100    -2.4512     0.2881     2.2894
    91   105     2.8460     0.9751     0.0255     0.5387
    93    39     1.6597     1.2959    -0.0772    -3.0695
    94    94     0.3614     3.3191    -0.1447    -0.0681
    94   150     0.0108     3.5894    -0.1447     2.5453
    95     6    -1.3821    -1.3428    -0.1646    -5.9078
    95    31    -1.9161    -2.0726    -0.1646    -3.3240
    95    40    -1.5677    -2.3131    -0.1646    -3.0102
    95    62    -1.0565    -1.8353    -0.1646    -1.5609
    95   182    -1.8372    -2.1285    -0.1646     4.3255
    95   189    -2.2325    -1.8090    -0.1646     5.1050
    98    16    -1.2785     2.1915    -0.2237    -4.0789
    98    17    -0.3533     2.6493    -0.2237    -3.9634
    98    20    -0.2262     2.8699    -0.2237    -3.8161
    98    65    -0.1990     2.4591    -0.2237    -1.4252
    98   112    -0.9779     2.9289    -0.2237     0.7829
    98   150    -0.3696     3.1943    -0.2237     2.5453
    98   194    -0.6070     2.4684    -0.2237     5.5599
    98   195    -0.9320     2.6038    -0.2237     5.6040
    99    36     1.0862     0.1479    -0.2407    -3.2359
    99    60     1.7982     0.9578    -0.2407    -1.6089
    99    65     0.8442     1.4276    -0.2407    -1.4252
    99    72     1.5030     0.9270    -0.2407    -1.0571
    99   113     1.5793     0.3829    -0.2407     0.8448
   103    48     0.0431     3.9674    -0.2577    -2.5419
   103   117     0.3353     4.5703    -0.2577     0.9197
   103   133     0.1548     4.2024    -0.2577     1.6050
   103   150     0.0923     3.8246    -0.2577     2.5453
   104    46     3.8262    -0.0963    -0.2732    -2.7135
   104   140     3.2794    -0.2927    -0.2732     1.9592
   105    87     1.3706    -3.3921    -0.3683    -0.4160
   105   114     0.4566    -3.1361    -0.3683     0.8470
   105   121     0.9004    -3.7782    -0.3683     1.1351
   106    10     1.0440    -2.2274    -0.3837    -4.4614
   106   157     1.1325    -2.2066    -0.3837     2.8189
   107    38    -2.9609     0.5860    -0.4074    -3.1137
   107    78    -3.3454     1.5298    -0.4074    -0.7663
   107   100    -2.4792     0.2655    -0.4074     0.1434
   107   120    -3.5882     0.8800    -0.4074     1.0492
   107   131    -2.7047     0.7751    -0.4074     1.5362
   110   121     0.3259    -2.8260    -0.6187     1.1351
   110   157     0.6341    -2.1421    -0.6187     2.8189
   110   177    -0.1285    -2.6917    -0.6187     4.1578
   111     7    -2.3947     2.2336    -0.6390    -5.5296
   111    35    -1.8579     1.6185    -0.6390    -3.2659
   111   112    -1.5879     2.7255    -0.6390     0.7829
   111   136    -2.5827     2.6219    -0.6390     1.7076
   111   166    -1.8833     2.2007    -0.6390     3.1776
   111   195    -1.5421     2.4004    -0.6390     5.6040
   113    36     1.2410    -0.1199    -0.6828    -3.2359
   113    54     1.5529     0.6517    -0.6828    -1.9768
   113    60     1.9529     0.6900    -0.6828    -1.6089
   115   105     2.4138     1.6044    -0.7792     0.5387
   115   113     1.9978     0.8721    -0.7792     0.8448
   120    60     1.9905     1.7595    -0.8936    -1.6089
   122     6    -1.3162    -0.4419    -1.0301    -5.9078
   122    27    -0.7860     0.0754    -1.0301    -3.4023
   122   131    -2.0338     0.5528    -1.0301     1.5362
   124     6    -1.0362    -0.8339    -1.0663    -5.9078
   124    15    -0.6139     0.0498    -1.0663    -4.1285
   124    27    -0.5060    -0.3166    -1.0663    -3.4023
   124    36    -0.0626    -0.5087    -1.0663    -3.2359
   126    10     0.4826    -2.3758    -1.1920    -4.4614
   126    27    -0.0807    -1.2251    -1.1920    -3.4023
   126    30    -0.1037    -2.1582    -1.1920    -3.3461
   126    44    -0.3096    -2.5468    -1.1920    -2.7471
   126    62    -0.2853    -2.2348    -1.1920    -1.5609
   126   114    -0.1809    -2.3968    -1.1920     0.8470
   127    46     4.1952     0.1346    -1.2841    -2.7135
   131     9    -1.2192     0.8593    -1.4683    -4.6713
   131    16    -2.0957     1.0520    -1.4683    -4.0789
   131    25    -2.5270     0.1142    -1.4683    -3.7247
   131    35    -2.0651     0.6823    -1.4683    -3.2659
   131   106    -2.6236     0.1524    -1.4683     0.5458
   131   131    -2.4653     0.7093    -1.4683     1.5362
   133   140     2.7285    -0.1117    -1.5286     1.9592
   142     5     1.2503    -0.0538    -2.0448    -5.9372
   142    36     0.9068    -0.1437    -2.0448    -3.2359
   142    54     1.2188     0.6278    -2.0448    -1.9768
   142    72     1.3236     0.6354    -2.0448    -1.0571
   142    86     1.7193    -0.9659    -2.0448    -0.4445
   142   105     1.8159     0.8236    -2.0448     0.5387
   144   134     2.0184     4.7417    -2.0738     1.6387
   147    46     3.8548     0.5884    -2.2247    -2.7135
   148   150    -0.6633     3.5004    -2.3436     2.5453
   148   158    -0.3821     2.5657    -2.3436     2.8309
   150     6    -1.2806    -0.5541    -2.4126    -5.9078
   150   174    -0.8475     0.4679    -2.4126     3.8098
   153    29     0.0874    -3.2777    -2.5545    -3.3470
   153    40    -0.9881    -2.8533    -2.5545    -3.0102
   153    44    -0.5013    -2.6875    -2.5545    -2.7471
   153    62    -0.4770    -2.3755    -2.5545    -1.5609
   153    92     0.3487    -2.4176    -2.5545    -0.2552
   153   114    -0.3725    -2.5375    -2.5545     0.8470
   153   177    -0.3831    -3.0452    -2.5545     4.1578
   153   196     0.2659    -2.4703    -2.5545     7.5634
   155     7    -2.5498     2.8329    -2.8943    -5.5296
   155    11    -1.4896     4.0484    -2.8943    -4.2892
   155    32    -2.5103     4.2042    -2.8943    -3.3221
   155   112    -1.7430     3.3248    -2.8943     0.7829
   155   150    -1.1347     3.5902    -2.8943     2.5453
   155   152    -2.2227     3.5039    -2.8943     2.6220
   155   166    -2.0384     2.8000    -2.8943     3.1776
   157     5     1.7758    -0.4626    -3.1499    -5.9372
