      1      1   2775    3.8609      169 156  12 157   4 152      0.0000
  2212    0.000    0.000     -9.7549  0.940    -4.58    -4.38    -0.20     0.20
  2112    0.000    0.000     -9.7549  0.940    -5.15     3.88    -0.20     0.20
  2112    0.000    0.000      9.7549  0.940     5.06     5.81     0.20     0.20
  2112    0.000    0.000     -9.7549  0.940    -8.59     0.33    -0.20     0.20
  2212    0.000    0.000     -9.7549  0.940    -6.01     0.63    -0.20     0.20
  2212    0.000    0.000      9.7549  0.940     4.54    -2.43     0.20     0.20
  2212    0.000    0.000     -9.7549  0.940    -7.52     3.60    -0.20     0.20
  2212    0.000    0.000      9.7549  0.940     6.63     0.12     0.20     0.20
  2112    0.000    0.000     -9.7549  0.940    -4.78    -2.67    -0.20     0.20
  2112    0.000    0.000     -9.7549  0.940    -6.93     1.48    -0.20     0.20
  2212    0.000    0.000     -9.7549  0.940    -7.62    -2.66    -0.20     0.20
  2112    0.000    0.000     -9.7549  0.940    -7.49     1.08    -0.20     0.20
  2212    0.000    0.000      9.7549  0.940     2.23    -5.76     0.20     0.20
  2112    0.000    0.000      9.7549  0.940    -1.61    -4.19     0.20     0.20
  2112    0.000    0.000     -9.7549  0.940    -5.69    -3.59    -0.20     0.20
  2112    0.000    0.000      9.7549  0.940     3.89     4.37     0.20     0.20
  2112    0.000    0.000     -9.7549  0.940    -2.09     8.51    -0.20     0.20
  2212    0.000    0.000      9.7549  0.940     6.19    -4.68     0.20     0.20
  2212    0.000    0.000     -9.7549  0.940    -5.15     3.89    -0.20     0.20
  2212    0.000    0.000     -9.7549  0.940    -6.52    -1.93    -0.20     0.20
  2112    0.000    0.000      9.7549  0.940     5.94     0.40     0.20     0.20
  2212    0.000    0.000     -9.7549  0.940    -4.00    -0.40    -0.20     0.20
  2112    0.000    0.000      9.7549  0.940     5.43     5.21     0.20     0.20
  2212    0.000    0.000     -9.7549  0.940    -5.58    -1.45    -0.20     0.20
  2112    0.000    0.000      9.7549  0.940     4.78     5.91     0.20     0.20
  2212    0.000    0.000      9.7549  0.940     4.00     5.96     0.20     0.20
  2112    0.000    0.000     -9.7549  0.940    -5.01     4.76    -0.20     0.20
  2212    0.000    0.000      9.7549  0.940     6.86    -0.95     0.20     0.20
  2112    0.000    0.000     -9.7549  0.940    -4.34     3.99    -0.20     0.20
  2112    0.000    0.000     -9.7549  0.940    -4.92     5.94    -0.20     0.20
  2112    0.000    0.000      9.7549  0.940     6.79    -0.13     0.20     0.20
