     0.02500    136.40511
     0.07500    121.77887
     0.12500     32.47212
     0.17500     59.71840
     0.22500     41.82368
     0.27500     12.71303
     0.37500     11.46837
     0.42500     10.69055
     0.47500     20.59530
     0.72500     16.64959
     0.77500      7.95067
 after hadron evolution
     0.02500    116.61198
     0.07500    104.85544
     0.12500     81.34926
     0.17500     15.16457
     0.22500     13.67607
     0.27500     64.85662
     0.32500     24.75910
     0.37500     34.19666
     0.42500     21.25302
     0.47500     10.15771
     0.67500      8.49784
     0.72500     16.48233
     0.77500      7.95067
