           1           0         197         197   3.86094236    
     1.787     -1.873     1     3      5.883     0  2212
     5.932      4.315     2     0      5.559  2212  2212
    -0.344     -3.159     3     3      5.517     0  2212
    -0.351      2.109     4     3      4.812     0  2112
    -2.136      1.940     5     3      4.680     0  2112
     2.948     -2.667     6     3      4.593     0  2212
     1.365      1.064     7     3      4.547     0  2212
     2.574     -0.334     8     3      4.518     0  2212
     1.630      0.522     9     3      4.342     0  2212
    -2.450      6.387    10     3      4.311     0  2112
    -0.124     -3.823    11     3      4.304     0  2212
     3.545     -2.050    12     3      4.143     0  2212
    -0.266     -4.818    13     3      4.085     0  2212
     6.012     -1.224    14     0      4.017  2212  2212
     5.031     -1.043    15     3      3.980     0  2212
     1.154     -1.629    16     3      3.925     0  2212
     0.722      5.064    17     3      3.885     0  2212
     4.541     -2.430    18     0      3.718  2212  2212
    -2.012      2.885    19     3      3.672     0  2212
     4.064     -0.689    20     3      3.618     0  2212
     1.452      3.993    21     3      3.615     0  2212
     3.200     -3.327    22     3      3.544     0  2212
     2.229     -5.759    23     0      3.387  2212  2212
    -0.062     -4.281    24     3      3.354     0  2112
     2.746      3.633    25     2      3.277  2212  2212
    -3.010     -1.339    26     3      3.221     0  2212
     4.708     -3.552    27     3      3.100     0  2212
     1.483      0.198    28     3      3.000     0  2112
     3.050      2.222    29     3      2.967     0  2112
    -0.855      2.539    30     3      2.815     0  2212
     2.151     -5.666    31     3      2.756     0  2212
     1.662     -3.564    32     3      2.754     0  2212
     2.463      5.516    33     3      2.727     0  2212
    -0.241      1.496    34     3      2.658     0  2112
    -2.172      0.567    35     3      2.611     0  2212
     4.855      3.638    36     3      2.469     0  2212
     1.751      5.527    37     1      2.450  2212  2212
     4.005      5.961    38     0      2.398  2212  2212
     7.710     -0.331    39     0      2.330  2212  2212
     3.756     -5.875    40     2      2.278  2212  2212
     2.344     -5.600    41     3      2.247     0  2212
     3.944     -1.922    42     3      2.206     0  2212
    -2.263     -4.903    43     3      2.198     0  2212
    -3.367     -1.487    44     3      2.184     0  2112
    -0.093     -2.618    45     3      1.885     0  2212
     3.520      2.986    46     3      1.883     0  2212
    -0.860      4.639    47     3      1.871     0  2212
    -1.330      6.373    48     3      1.844     0  2212
    -1.085     -0.781    49     3      1.837     0  2212
    -1.836      4.385    50     3      1.780     0  2212
     4.920     -1.580    51     3      1.751     0  2212
     0.444      0.176    52     3      1.709     0  2112
     4.151     -3.112    53     3      1.557     0  2212
     3.991      4.163    54     1      1.547  2212  2212
    -2.164      2.515    55     3      1.468     0  2212
     0.094     -0.001    56     3      1.444     0  2112
    -1.428     -4.979    57     3      1.439     0  2212
     1.683     -4.677    58     1      1.425  2212  2212
     7.988      1.371    59     3      1.408     0  2212
     6.909      4.339    60     0      1.407  2212  2212
    -1.787     -1.646    61     3      1.259     0  2112
    -4.911      1.309    62     3      1.224     0  2212
