     0.02500     83.02460
     0.07500     49.34317
     0.12500     57.07625
     0.17500     53.89082
     0.22500     42.77637
     0.27500      8.33816
     0.32500     16.09808
     0.37500      7.68102
     0.47500      7.06934
     0.52500      6.74717
     0.77500      5.79825
 after hadron evolution
     0.02500     62.12169
     0.07500     58.82415
     0.12500     84.42406
     0.17500     62.83850
     0.22500     25.73343
     0.27500     49.56692
     0.32500     47.36808
     0.37500     23.20396
     0.42500     14.64499
     0.52500      6.88196
     0.62500      6.38817
     0.77500      5.79825
     0.87500      5.52630
