     0.02500    530.21692
     0.07500    679.71765
     0.12500    221.35954
     0.17500    374.48749
     0.22500    303.88983
     0.27500    214.64636
     0.32500    129.20555
     0.37500    153.43114
     0.42500    104.77454
     0.47500     97.60950
     0.52500     14.90656
     0.57500     28.71170
     0.62500     25.64605
     0.67500     11.99875
     0.72500     23.11022
     0.77500     11.15190
     0.82500     10.14559
     1.07500      8.40416
     1.32500      6.80462
 after hadron evolution
     0.02500   2887.99365
     0.07500   2364.42847
     0.12500   1091.06177
     0.17500    970.41174
     0.22500    685.52521
     0.27500    582.85596
     0.32500    345.34927
     0.37500    291.36630
     0.42500    174.07584
     0.47500    113.32513
     0.52500     60.63923
     0.57500     70.83344
     0.62500     77.60886
     0.67500     24.24655
     0.72500     46.70688
     0.77500     10.81474
     0.92500      9.21892
     1.07500      8.40416
